model,mae,rmse,r2,corr,mape
CatBoost,0.9113491600494816,1.1171061430156075,0.06287972818925718,0.8666366974308353,13.889019778210864
RandomForest,0.9118421109021896,1.1293310618088535,0.018728841715325212,0.8551175978716195,13.608989625798733
XGBoost,0.9231386571308404,1.1423424886818887,0.21972554656446877,0.8507470023085226,13.78649681168334
ElasticNet,1.242365068721484,1.5099399255055233,-0.7869561393574722,0.8038672575748022,19.001646771590305
LinearRegression,4.984296623888905,6.41568394708044,-223.27937635419454,0.6834594135302592,77.92091817701804
