latitude_zone,mae,rmse,r2,corr,mape
S_mid,1.4072638786756377,1.7553895039779024,-7.185741629863399,0.8502944561147573,23.539028850900568
N_mid,1.5828528750163249,2.005718021689286,-43.16578628390927,0.8386992019433199,26.38171778301605
N_high,2.0258866926402974,2.466516654803047,-117.07924782257658,0.44827301130713676,41.49190737494747
Low,2.2674987902876302,2.86832059817978,-48.11712302143906,0.8251529123426226,28.63976785375197
