latitude_zone,stations,rows,changed_points_total,changed_points_share_mean,changed_points_share_median
Low,12,720458,2736305,0.4943845470885397,0.43559994241806355
N_high,3,161463,610365,0.4195751476742235,0.49089736647095705
N_mid,21,1196442,5442989,0.5744297094292792,0.5941054131882836
S_mid,5,303156,964048,0.3948786097081229,0.4044171084131327
