parameter,changed_points,changed_points_share
foF2,1738017,0.7272047871682369
MUF_D,1600938,0.6636380461307184
hmF2,1555643,0.6558443780773994
foF2p,1401069,0.6081151435389693
fmin,1358783,0.5657197853640176
TEC,1102065,0.49711280477332376
foE,693382,0.2990504127975961
foF1,303810,0.12551112110400625
