station,parameter,n_overlap,mae_before_after,acf_similarity,acf_threshold_pass,dtw_distance_normalized,dtw_similarity,latitude,latitude_zone
AL945,MUF_D,56604,0.8851168358243233,0.9999816558823384,True,0.048747300065126876,0.9535185453520599,45.07,N_mid
AL945,TEC,56604,1.5060653840717972,0.9999766748129616,True,0.068182569041533,0.936169554701953,45.07,N_mid
AL945,fmin,56606,0.09226698583189062,0.9986732429769384,True,0.10761251430068107,0.9028428146926231,45.07,N_mid
AL945,foE,26795,0.08393898115320024,0.9999716049976906,True,0.08895642333383375,0.9183103920159686,45.07,N_mid
AL945,foF1,13372,0.2580974237212085,0.9897260672052144,True,0.09868364576896586,0.9101801085790282,45.07,N_mid
AL945,foF2,56604,0.28072040182672603,0.9999759786178912,True,0.056120549246677455,0.9468616065782379,45.07,N_mid
AL945,foF2p,59640,0.09740622904091216,0.9999983540870789,True,0.042446800135358675,0.9592815670498993,45.07,N_mid
AL945,hmF2,56604,9.816748153840718,0.9999710934773203,True,0.09940021289956924,0.9095868713383181,45.07,N_mid
AS00Q,MUF_D,56566,1.5075548879480019,0.999993190202902,True,0.07041209570249549,0.9342196374786993,-8.0,Low
AS00Q,TEC,56321,3.26460371501453,0.9999609584926804,True,0.07674967346374038,0.9287209688981393,-8.0,Low
AS00Q,fmin,56569,0.3363107296693713,0.9999196497700051,True,0.08119575598302364,0.9249018916937938,-8.0,Low
AS00Q,foE,6988,0.11504096307956496,0.9989077337595894,True,0.1201278016853254,0.8927552717604339,-8.0,Low
AS00Q,foF1,5560,0.22411690647482016,0.9812095915188793,True,0.07932780899358491,0.9265025802795225,-8.0,Low
AS00Q,foF2,56569,0.524185012992982,0.999916023776624,True,0.06533225989890666,0.9386742874893264,-8.0,Low
AS00Q,foF2p,59980,0.20836072440813605,0.9999982060396041,True,0.035006069854715244,0.9661779086381309,-8.0,Low
AS00Q,hmF2,56569,9.75667076196032,0.9995289379748813,True,0.10344627835810276,0.9062516405311295,-8.0,Low
AT138,MUF_D,60965,1.1361234711173078,0.9999815533520588,True,0.06160167122570955,0.9419728953943854,38.0,N_mid
AT138,TEC,60970,1.4052437674266032,0.9999365902698149,True,0.06377914818905152,0.9400447467901327,38.0,N_mid
AT138,fmin,60970,0.24998044120059046,0.9999024106248299,True,0.0884741091372819,0.9187173048999706,38.0,N_mid
AT138,foE,15238,0.1265113258520366,0.9996525757095366,True,0.11043684879716965,0.9005464841005634,38.0,N_mid
AT138,foF1,3538,0.1655087620124364,0.9803346467282321,True,0.06429768519124819,0.9395867471235791,38.0,N_mid
AT138,foF2,60970,0.3325477099393145,0.999968998483491,True,0.06164596975230875,0.9419335903788234,38.0,N_mid
AT138,foF2p,62174,0.14379928373060552,0.9999717983905964,True,0.03583636592756565,0.9654034487431082,38.0,N_mid
AT138,hmF2,60970,9.652645768410693,0.9998560489703059,True,0.0969755389972971,0.9115973551370721,38.0,N_mid
AU930,MUF_D,12287,1.3067804149371964,0.9999771865040706,True,0.05604608766354592,0.9469283695870268,30.4,N_mid
AU930,TEC,12286,1.6162122198708557,0.999931297120217,True,0.06564283588263023,0.938400715819329,30.4,N_mid
AU930,fmin,12287,0.13695708201079732,0.9803684076511677,True,0.23165757901300502,0.8119139743380258,30.4,N_mid
AU930,foE,5736,0.12596786378428637,0.9998030721463359,True,0.1017933666521683,0.9076112003093009,30.4,N_mid
AU930,foF1,2831,0.18448810785352643,0.9887275021960675,True,0.1572460996604493,0.8641204323725202,30.4,N_mid
AU930,foF2,12287,0.35362066954233473,0.9999645313534113,True,0.05720431014665435,0.9458909601506268,30.4,N_mid
AU930,foF2p,12287,0.13171359973956215,0.9999998173445804,True,0.02890346058335886,0.97190848151393,30.4,N_mid
AU930,hmF2,12287,8.999194270367054,0.9998265218078759,True,0.1094670932641748,0.9013336277130036,30.4,N_mid
BC840,MUF_D,7781,1.017725613674335,0.9999613139676028,True,0.04921765094628265,0.9530910951584797,40.0,N_mid
BC840,TEC,7781,1.1880263890673863,0.9999234116841762,True,0.04918945735135391,0.953116706418752,40.0,N_mid
BC840,fmin,7781,0.14514415456453753,0.9992620072195791,True,0.09824380721874218,0.9105446290040636,40.0,N_mid
BC840,foE,3404,0.09401561887974932,0.9999772643354572,True,0.08806136852445899,0.9190658072495667,40.0,N_mid
BC840,foF1,1806,0.16493101698043558,0.9936278157671312,True,0.12960905970583286,0.8852620217656674,40.0,N_mid
BC840,foF2,7781,0.2688104142569507,0.9999457030669096,True,0.04937588615288945,0.9529473787186915,40.0,N_mid
BC840,foF2p,7781,0.1247106198860472,0.9999999401865729,True,0.02922534307873608,0.9716045244364913,40.0,N_mid
BC840,hmF2,7781,7.293442359593882,0.9999072556200659,True,0.08621256131049188,0.9206301193879785,40.0,N_mid
BR52P,MUF_D,50906,0.8597329571497795,0.9998433270263019,True,0.0646400368996255,0.939284608262652,-27.53,Low
BR52P,fmin,68863,0.10431658389362453,0.9997980518755473,True,0.087467422670677,0.9195677766090053,-27.53,Low
BR52P,foE,24092,0.10848929796889702,0.9998923576060086,True,0.10385300683497196,0.905917720754555,-27.53,Low
BR52P,foF1,14953,0.19666886800864933,0.9905974702132343,True,0.12175431614250419,0.8914607999359488,-27.53,Low
BR52P,foF2,68109,0.2573997158965775,0.9999814547634189,True,0.058479388650496025,0.9447515093089777,-27.53,Low
BR52P,hmF2,65381,9.542180131332753,0.9997650943369838,True,0.08136943664807739,0.9247533415589234,-27.53,Low
CAJ2M,MUF_D,61721,1.4485939408791173,0.9999750741308417,True,0.07725208654523615,0.9282878283457452,-22.7,Low
CAJ2M,TEC,61721,2.5124042060238816,0.9999738796999252,True,0.06941705557123164,0.9350888830418433,-22.7,Low
CAJ2M,fmin,62095,0.18938863837668088,0.9998465051134473,True,0.11926757815871225,0.8934414071433059,-22.7,Low
CAJ2M,foE,30101,0.12084336899106342,0.9999341842955178,True,0.09585049048586299,0.9125332412422736,-22.7,Low
CAJ2M,foF1,8937,0.25929940136511137,0.9782935727047776,True,0.1191721702290776,0.893517571827501,-22.7,Low
CAJ2M,foF2,61721,0.4599250842500932,0.9999738651881069,True,0.07278701243771137,0.9321514787242657,-22.7,Low
CAJ2M,foF2p,62544,0.16319311204911743,0.9999996383743835,True,0.028458204040399518,0.9723292556483105,-22.7,Low
CAJ2M,hmF2,61721,10.616544206995998,0.9972277027267816,True,0.12988035264238187,0.8850494635660858,-22.7,Low
CB53N,MUF_D,51954,0.7163102594763316,0.9999284423240641,True,0.05372385483710168,0.9490152428546784,-35.32,S_mid
CB53N,fmin,69107,0.05516920982437862,0.9992412285249569,True,0.09500739592801644,0.9132358408890034,-35.32,S_mid
CB53N,foE,25602,0.08814770818686041,0.9999695601279536,True,0.07838944133032331,0.9273087825919174,-35.32,S_mid
CB53N,foF1,16974,0.1504316871882487,0.9958606427772048,True,0.11854826609493087,0.894015958284209,-35.32,S_mid
CB53N,foF2,67947,0.22302464396269642,0.9999734632908079,True,0.05354712180588913,0.9491744406134357,-35.32,S_mid
CB53N,hmF2,58605,8.937532207149562,0.9999023783817235,True,0.09831031551661759,0.9104894908772891,-35.32,S_mid
CGK21,MUF_D,2032,1.4284107406496063,0.9999208569272232,True,0.0725127352682444,0.9323898608531596,-20.5,Low
CGK21,TEC,2032,3.3350455216535435,0.9999770557233261,True,0.07378598637375339,0.9312842714376135,-20.5,Low
CGK21,fmin,2034,0.24267453294001967,0.9990769870517155,True,0.09302747187510466,0.91489008806383,-20.5,Low
CGK21,foE,1001,0.11494755244755243,0.9999029742116126,True,0.06008451929139406,0.9433210105439921,-20.5,Low
CGK21,foF1,343,0.21417638483965012,0.8716031472671029,False,0.10353072689700739,0.9061822889262694,-20.5,Low
CGK21,foF2,2032,0.47103469488188976,0.9997802190938546,True,0.07435834876260179,0.9307881314942593,-20.5,Low
CGK21,foF2p,2038,0.126853532875368,0.9999958362320472,True,0.03123830671850246,0.9697079651570492,-20.5,Low
CGK21,hmF2,2032,8.456083907480313,0.9989843488351652,True,0.10179003319547333,0.907613946279532,-20.5,Low
CS31K,MUF_D,47370,1.1741957383364998,0.9999673268664808,True,0.04804896559915537,0.954153892445582,-12.18,Low
CS31K,fmin,64131,0.11482898286320188,0.9999136251627398,True,0.08889777366688474,0.9183598535907372,-12.18,Low
CS31K,foE,26031,0.11380429423892026,0.9998816119822829,True,0.08771786547829842,0.9193560497052914,-12.18,Low
CS31K,foF1,15657,0.1929479359604863,0.9903507252404974,True,0.10726038952198069,0.9031299317333239,-12.18,Low
CS31K,foF2,61571,0.3864592936068387,0.9999981572185805,True,0.04288680448868147,0.9588768365808324,-12.18,Low
CS31K,hmF2,59721,8.917077675078003,0.9994812130229084,True,0.0984648697811826,0.9103613847925814,-12.18,Low
DB049,MUF_D,68349,0.905094320909014,0.9999448836343708,True,0.04963358075376155,0.9527134214607361,50.1,N_mid
DB049,TEC,68349,1.0774550504076905,0.9999669892316255,True,0.05775031631473785,0.9454026953015308,50.1,N_mid
