parameter,series,mae_mean,mae_median,acf_similarity_mean,acf_similarity_median,acf_threshold_pass_share,dtw_similarity_mean,dtw_similarity_median
MUF_D,39,1.0483356317320618,1.0172460936114363,0.9999515846205679,0.9999738094576667,1.0,0.9451049474589244,0.9450959317661413
TEC,32,1.6777666729746765,1.4887518008279372,0.9998939934533058,0.9999609918108106,1.0,0.9357986872057842,0.9399518455131832
fmin,40,0.14312551785016114,0.1322699177625397,0.9980205249117471,0.9994664899780414,1.0,0.9090248555571456,0.9110832433055158
foE,41,0.10324111031961154,0.0956004050449501,0.9997248625021753,0.9999568667613836,1.0,0.9187899851351059,0.9193560497052914
foF1,39,0.20907972488509274,0.19666886800864933,0.9858293418577576,0.9900832831346992,0.9743589743589743,0.903901012767561,0.9019893486785544
foF2,41,0.30771204158996657,0.28072040182672603,0.9999350318066325,0.9999645313534113,1.0,0.9460829334019113,0.9491744406134357
foF2p,30,0.12147958931345054,0.11701026383766475,0.999935987832476,0.9999985113119405,1.0,0.9663633435514806,0.9693306683880023
hmF2,41,9.80646525488843,9.199370555427718,0.9996150989785667,0.9998267413220984,1.0,0.906723194486109,0.9103613847925814
