latitude_zone,series,stations,mae_mean,mae_median,acf_similarity_mean,acf_threshold_pass_share,dtw_similarity_mean
Low,84,12,1.8651137360175927,0.2583495586308444,0.9962053864163649,0.9880952380952381,0.9249329441815914
N_high,20,3,2.418447931089362,0.29715631742191084,0.9986027166561812,1.0,0.9102845077823881
N_mid,168,21,1.5406618987749994,0.24190261008305985,0.9983050084922341,1.0,0.9315418328773282
S_mid,31,5,2.1658575507716797,0.22302464396269642,0.9987964858255924,1.0,0.9240335552227051
